 alpha_m, ax_racetraj_mps2, kappa_racetraj_radpm, psi_racetraj_rad, s_racetraj_m, vx_racetraj_mps, width_left_m, width_right_m, x_normvec_m, y_normvec_m, y_ref_m,delta_s,x_bound_l,x_bound_r,x_raceline,x_ref_m,y_bound_l,y_bound_r,y_raceline
0.146003,-0.838946,0.342682,2.52229,60.6914,5.87714,0.705795,0.894205,-0.971961,0.235143,7.73293,0.0448919,-12.823,-14.3782,-13.6509,-13.509,7.56697,7.94319,7.76726
0.162847,-0.825668,0.343967,2.53945,60.7363,5.87,0.715357,0.884643,-0.975434,0.220292,7.6947,0.0454743,-12.8202,-14.3809,-13.6768,-13.518,7.53711,7.88958,7.73058
0.179883,-0.81363,0.345131,2.55668,60.7818,5.86296,0.724326,0.875674,-0.978536,0.206077,7.65594,0.0460248,-12.8176,-14.3833,-13.7024,-13.5264,7.50668,7.8364,7.69301
0.197058,-0.801081,0.346254,2.57396,60.8278,5.85602,0.732725,0.867275,-0.981299,0.19249,7.61666,0.0465429,-12.8154,-14.3855,-13.7278,-13.5344,7.47562,7.7836,7.65459
0.214319,-0.787037,0.347384,2.59131,60.8744,5.84918,0.740587,0.859413,-0.983754,0.179519,7.57686,0.0470279,-12.8134,-14.3874,-13.7528,-13.5419,7.44391,7.73114,7.61533
0.231614,-0.787037,0.347384,2.59131,60.9214,5.84918,0.74859,0.85141,-0.985931,0.167151,7.53654,0.0474802,-12.811,-14.3885,-13.7774,-13.549,7.41142,7.67886,7.57526
0.24889,-0.771146,0.34855,2.60871,60.9689,5.84244,0.755064,0.844936,-0.987856,0.155373,7.49572,0.0478998,-12.8098,-14.3904,-13.8016,-13.5557,7.37841,7.627,7.5344
0.266094,-0.753587,0.349761,2.62617,61.0168,5.83584,0.761458,0.838542,-0.989553,0.144171,7.45441,0.0482875,-12.8085,-14.3917,-13.8253,-13.562,7.34463,7.5753,7.49277
0.283175,-0.734982,0.351009,2.64369,61.0651,5.82938,0.767396,0.832604,-0.991045,0.133531,7.4126,0.0486442,-12.8073,-14.393,-13.8485,-13.5678,7.31013,7.52378,7.45041
0.300083,-0.716346,0.352275,2.66128,61.1137,5.82307,0.772874,0.827126,-0.992352,0.123437,7.37031,0.048971,-12.8063,-14.3941,-13.8711,-13.5733,7.27491,7.47241,7.40735
0.316769,-0.699034,0.353529,2.67892,61.1627,5.81692,0.778126,0.821874,-0.993495,0.113876,7.32755,0.0492693,-12.8053,-14.3949,-13.8931,-13.5784,7.23894,7.42114,7.36362
0.333184,-0.684712,0.354732,2.69663,61.2119,5.81091,0.782957,0.817043,-0.99449,0.104831,7.28431,0.0495406,-12.8045,-14.3957,-13.9145,-13.5832,7.20223,7.36996,7.31924
